idolId,accounts,onlyAccounts,tweets,favs,retweets
72,347,130,879,1369,137
144,109,33,304,216,22
31,230,50,554,635,30
164,0,0,0,0,0
143,0,0,0,0,0
29,132,50,250,96,3
52,143,57,253,235,1
92,2790,1453,7707,6531,218
127,0,0,0,0,0
54,0,0,0,0,0
104,698,279,2086,2182,151
76,0,0,0,0,0
65,345,120,822,1463,122
51,190,60,388,443,293
13,0,0,0,0,0
20,1028,498,3627,3463,128
99,104,35,202,24,3
27,0,0,0,0,0
184,0,0,0,0,0
200,1079,604,2151,3849,338
6,1766,915,7581,20162,657
47,114,23,229,184,9
150,0,0,0,0,0
116,289,101,778,563,26
113,337,144,987,1508,192
16,102,22,228,118,2
155,165,48,370,401,12
151,204,72,441,534,118
153,0,0,0,0,0
124,1257,597,3882,10945,1294
21,80,11,130,114,4
146,0,0,0,0,0
53,170,38,311,203,5
26,620,311,1636,947,341
24,450,200,980,1184,267
122,926,327,2293,3386,379
12,0,0,0,0,0
9,387,180,1251,3115,936
66,0,0,0,0,0
158,0,0,0,0,0
75,0,0,0,0,0
74,0,0,0,0,0
73,0,0,0,0,0
98,0,0,0,0,0
115,103,26,247,111,3
187,112,41,264,129,24
186,0,0,0,0,0
149,0,0,0,0,0
83,306,136,780,733,95
138,0,0,0,0,0
190,111,33,240,582,298
70,139,39,270,292,25
132,1985,1025,5922,6366,460
48,214,97,654,877,67
55,1416,566,5716,6459,918
58,669,306,1551,1340,42
56,261,98,660,739,14
68,1113,515,3384,4066,95
1001,0,0,0,0,0
102,128,36,220,158,56
57,766,322,2769,6262,102
50,0,0,0,0,0
154,0,0,0,0,0
33,0,0,0,0,0
11,0,0,0,0,0
188,434,169,1244,994,37
95,39,6,103,48,31
34,1643,797,4805,4117,221
140,230,69,503,256,10
196,441,164,1117,3365,168
49,177,70,420,389,17
89,0,0,0,0,0
59,0,0,0,0,0
15,0,0,0,0,0
80,0,0,0,0,0
105,0,0,0,0,0
198,0,0,0,0,0
141,134,31,275,53,4
162,1603,843,3550,5840,897
5,0,0,0,0,0
120,0,0,0,0,0
110,72,20,149,54,2
67,0,0,0,0,0
1,0,0,0,0,0
195,211,69,532,435,123
63,0,0,0,0,0
114,0,0,0,0,0
1002,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
185,152,23,343,506,17
38,189,37,377,303,27
205,2714,1278,6728,3278,388
19,0,0,0,0,0
103,114,38,352,167,6
170,353,155,862,2237,805
175,156,47,356,73,16
97,0,0,0,0,0
71,151,63,276,75,5
133,0,0,0,0,0
96,1541,755,4562,5470,1277
135,0,0,0,0,0
78,0,0,0,0,0
88,0,0,0,0,0
39,199,48,475,251,6
204,3456,1601,8626,8156,189
194,223,48,514,401,29
77,697,340,1966,4064,1014
173,0,0,0,0,0
41,0,0,0,0,0
2,0,0,0,0,0
17,991,417,2727,2308,168
174,0,0,0,0,0
136,591,266,2292,4597,477
118,863,364,2433,2544,94
197,0,0,0,0,0
191,0,0,0,0,0
117,203,67,521,800,47
160,139,48,265,157,9
85,0,0,0,0,0
131,0,0,0,0,0
61,191,68,457,685,291
165,127,32,258,272,37
82,353,75,891,1543,244
166,63,17,97,31,2
192,0,0,0,0,0
64,0,0,0,0,0
123,0,0,0,0,0
62,792,335,2648,3096,398
100,262,111,593,239,5
1003,0,0,0,0,0
1004,0,0,0,0,0
171,0,0,0,0,0
147,0,0,0,0,0
40,237,67,465,122,6
4,614,254,1605,809,176
119,1177,492,3874,7760,258
23,0,0,0,0,0
84,0,0,0,0,0
35,0,0,0,0,0
87,373,120,822,844,16
93,273,118,542,125,8
101,0,0,0,0,0
157,0,0,0,0,0
159,0,0,0,0,0
134,0,0,0,0,0
28,0,0,0,0,0
176,410,122,911,362,95
125,760,261,2208,3585,411
94,0,0,0,0,0
30,133,52,334,143,3
69,1546,733,6041,9904,895
139,415,117,1143,781,127
161,0,0,0,0,0
10,70,15,90,17,0
145,175,37,491,1001,26
79,835,366,2332,3225,298
86,285,107,740,630,745
3,0,0,0,0,0
81,0,0,0,0,0
8,0,0,0,0,0
32,0,0,0,0,0
189,1461,690,4868,12966,854
181,0,0,0,0,0
22,0,0,0,0,0
193,0,0,0,0,0
60,190,38,383,324,6
156,386,190,889,345,24
7,412,156,1008,645,20
130,1202,623,3668,7448,127
37,575,174,1444,1634,301
126,0,0,0,0,0
172,0,0,0,0,0
36,232,99,476,1073,30
90,1911,1048,5411,3855,223
142,378,106,1305,2912,248
45,183,57,395,519,2
14,158,34,422,215,83
128,0,0,0,0,0
129,0,0,0,0,0
25,0,0,0,0,0
206,0,0,0,0,0
18,848,376,2529,2313,241
112,295,117,630,469,5
163,0,0,0,0,0
91,1582,818,4753,8403,538
137,0,0,0,0,0
167,606,278,1759,3158,70
121,0,0,0,0,0
111,777,311,2933,4503,988
