idolId,accounts,onlyAccounts,tweets,favs,retweets
72,390,139,1058,1539,147
144,130,36,362,230,24
31,257,50,645,677,32
164,0,0,0,0,0
143,0,0,0,0,0
29,152,54,298,101,3
52,177,64,319,267,1
92,3226,1635,9446,9610,265
127,0,0,0,0,0
54,0,0,0,0,0
104,812,305,2626,2797,225
76,0,0,0,0,0
65,393,124,973,1652,126
51,220,63,482,525,343
13,0,0,0,0,0
20,1129,532,4300,3768,138
99,123,37,245,31,4
27,0,0,0,0,0
184,0,0,0,0,0
200,1257,682,2626,4317,430
6,1923,967,9147,23286,680
47,130,23,269,191,9
150,0,0,0,0,0
116,355,111,984,845,30
113,394,153,1235,1860,259
16,127,25,291,168,11
155,198,53,441,425,12
151,230,79,535,567,130
153,0,0,0,0,0
124,1404,644,4654,12193,1402
21,94,10,153,114,4
146,0,0,0,0,0
53,203,43,386,235,10
26,716,358,1960,1036,426
24,503,213,1144,1202,267
122,1061,349,2815,3902,427
12,0,0,0,0,0
9,430,193,1475,3522,1047
66,0,0,0,0,0
158,0,0,0,0,0
75,0,0,0,0,0
74,0,0,0,0,0
73,0,0,0,0,0
98,0,0,0,0,0
115,120,28,300,114,3
187,133,43,321,132,24
186,0,0,0,0,0
149,0,0,0,0,0
83,345,147,911,754,100
138,0,0,0,0,0
190,126,37,283,611,304
70,168,38,332,327,29
132,2266,1142,7074,6798,534
48,270,107,824,994,81
55,1582,584,6971,8841,1348
58,763,325,1841,1408,42
56,303,103,796,785,14
68,1247,555,4153,5118,108
1001,0,0,0,0,0
102,146,41,260,167,58
57,879,330,3353,6856,130
50,0,0,0,0,0
154,0,0,0,0,0
33,0,0,0,0,0
11,0,0,0,0,0
188,487,182,1462,1082,43
95,51,8,132,60,40
34,1871,864,5649,4327,227
140,286,71,627,325,22
196,501,173,1331,3676,168
49,217,79,524,441,18
89,0,0,0,0,0
59,0,0,0,0,0
15,0,0,0,0,0
80,0,0,0,0,0
105,0,0,0,0,0
198,0,0,0,0,0
141,155,33,354,75,4
162,1803,929,4164,6281,981
5,0,0,0,0,0
120,0,0,0,0,0
110,96,24,194,59,3
67,0,0,0,0,0
1,0,0,0,0,0
195,246,75,649,471,124
63,0,0,0,0,0
114,0,0,0,0,0
1002,0,0,0,0,0
168,0,0,0,0,0
169,0,0,0,0,0
185,181,25,412,520,17
38,222,40,451,321,27
205,3077,1409,8160,3922,478
19,0,0,0,0,0
103,132,39,440,184,7
170,390,165,1004,2413,809
175,188,52,424,79,19
97,0,0,0,0,0
71,202,74,358,109,13
133,0,0,0,0,0
96,1720,813,5498,6072,1413
135,0,0,0,0,0
78,0,0,0,0,0
88,0,0,0,0,0
39,228,51,574,276,6
204,3857,1768,10273,8716,199
194,251,51,596,408,29
77,773,362,2371,4675,1200
173,0,0,0,0,0
41,0,0,0,0,0
2,0,0,0,0,0
17,1114,450,3235,2405,173
174,0,0,0,0,0
136,666,289,2783,5228,551
118,992,384,3022,3410,108
197,0,0,0,0,0
191,0,0,0,0,0
117,227,70,638,844,49
160,160,50,307,167,9
85,0,0,0,0,0
131,0,0,0,0,0
61,232,79,549,713,294
165,155,35,332,292,39
82,384,78,1043,1621,244
166,79,19,116,33,3
192,0,0,0,0,0
64,0,0,0,0,0
123,0,0,0,0,0
62,893,364,3143,3227,418
100,285,113,691,253,5
1003,0,0,0,0,0
1004,0,0,0,0,0
171,0,0,0,0,0
147,0,0,0,0,0
40,267,72,549,130,7
4,724,295,1927,879,191
119,1312,527,4652,8647,312
23,0,0,0,0,0
84,0,0,0,0,0
35,0,0,0,0,0
87,439,142,1008,912,17
93,317,130,642,137,10
101,0,0,0,0,0
157,0,0,0,0,0
159,0,0,0,0,0
134,0,0,0,0,0
28,0,0,0,0,0
176,457,124,1072,396,107
125,867,287,2632,3984,489
94,0,0,0,0,0
30,151,58,394,151,4
69,1745,796,7307,11128,990
139,481,131,1371,899,153
161,0,0,0,0,0
10,80,15,106,22,0
145,214,46,612,1229,28
79,934,395,2811,3426,305
86,328,107,909,698,851
3,0,0,0,0,0
81,0,0,0,0,0
8,0,0,0,0,0
32,0,0,0,0,0
189,1736,769,6015,24613,2091
181,0,0,0,0,0
22,0,0,0,0,0
193,0,0,0,0,0
60,217,39,450,334,7
156,428,202,1062,389,32
7,461,166,1192,713,20
130,1353,684,4394,8049,136
37,688,197,1852,1830,347
126,0,0,0,0,0
172,0,0,0,0,0
36,280,104,581,1153,31
90,2181,1166,6519,4362,265
142,424,106,1537,3217,276
45,212,64,464,554,3
14,178,34,489,235,85
128,0,0,0,0,0
129,0,0,0,0,0
25,0,0,0,0,0
206,0,0,0,0,0
18,967,406,3064,2732,324
112,352,128,754,497,5
163,0,0,0,0,0
91,1782,880,5616,9394,570
137,0,0,0,0,0
167,692,301,2196,4088,147
121,0,0,0,0,0
111,877,340,3521,5036,1049
