idolId,users,tweets,favs,retweets
72,257,525,1072,114
144,75,167,194,17
31,150,314,510,17
164,0,0,0,0
143,0,0,0,0
29,90,146,84,2
52,91,139,141,1
92,2065,4410,4073,153
127,0,0,0,0
54,0,0,0,0
104,518,1187,1630,134
76,0,0,0,0
65,253,472,851,105
51,123,197,302,173
13,0,0,0,0
20,750,2067,2759,86
99,70,121,17,3
27,0,0,0,0
184,0,0,0,0
200,740,1275,3063,250
6,1352,4138,10293,562
47,67,129,117,1
150,0,0,0,0
116,210,487,464,25
113,237,524,875,73
16,64,129,100,2
155,116,202,301,7
151,124,227,448,96
153,0,0,0,0
124,950,2235,7011,947
21,59,89,105,4
146,0,0,0,0
53,92,153,139,1
26,471,981,857,303
24,331,599,974,202
122,638,1282,2421,274
12,0,0,0,0
9,268,736,2394,712
66,0,0,0,0
158,0,0,0,0
75,0,0,0,0
74,0,0,0,0
73,0,0,0,0
98,0,0,0,0
115,66,140,102,3
187,74,159,104,18
186,0,0,0,0
149,0,0,0,0
83,236,456,644,64
138,0,0,0,0
190,80,147,517,276
70,92,155,245,21
132,1457,3395,5358,336
48,159,350,730,65
55,1105,3261,4831,638
58,475,921,1139,33
56,192,385,587,11
68,838,1920,3175,74
1001,0,0,0,0
102,87,133,150,56
57,571,1494,4865,63
50,0,0,0,0
154,0,0,0,0
33,0,0,0,0
11,0,0,0,0
188,306,714,820,27
95,17,36,23,13
34,1251,2919,3543,194
140,156,285,233,9
196,337,688,2830,163
49,123,237,276,12
89,0,0,0,0
59,0,0,0,0
15,0,0,0,0
80,0,0,0,0
105,0,0,0,0
198,0,0,0,0
141,92,155,31,4
162,1199,2159,4844,809
5,0,0,0,0
120,0,0,0,0
110,48,84,46,2
67,0,0,0,0
1,0,0,0,0
195,132,262,297,90
63,0,0,0,0
114,0,0,0,0
1002,0,0,0,0
168,0,0,0,0
169,0,0,0,0
185,103,206,411,16
38,146,242,276,26
205,1956,3833,2237,294
19,0,0,0,0
103,82,196,135,6
170,243,508,1611,580
175,108,213,61,14
97,0,0,0,0
71,97,164,69,5
133,0,0,0,0
96,1125,2572,4176,962
135,0,0,0,0
78,0,0,0,0
88,0,0,0,0
39,142,253,206,4
204,2542,4939,5832,121
194,147,284,327,6
77,529,1159,2927,577
173,0,0,0,0
41,0,0,0,0
2,0,0,0,0
17,716,1579,1401,72
174,0,0,0,0
136,465,1298,3011,307
118,636,1404,1808,74
197,0,0,0,0
191,0,0,0,0
117,142,289,716,37
160,98,157,139,9
85,0,0,0,0
131,0,0,0,0
61,135,277,570,262
165,72,131,227,33
82,263,511,1269,225
166,33,47,29,2
192,0,0,0,0
64,0,0,0,0
123,0,0,0,0
62,583,1455,2413,314
100,184,349,209,4
1003,0,0,0,0
1004,0,0,0,0
171,0,0,0,0
147,0,0,0,0
40,154,260,109,4
4,433,927,564,74
119,834,2073,5167,111
23,0,0,0,0
84,0,0,0,0
35,0,0,0,0
87,259,468,652,7
93,197,331,104,7
101,0,0,0,0
157,0,0,0,0
159,0,0,0,0
134,0,0,0,0
28,0,0,0,0
176,295,526,305,92
125,585,1320,2862,348
94,0,0,0,0
30,98,202,126,2
69,1166,3372,7828,710
139,297,641,422,63
161,0,0,0,0
10,39,49,10,0
145,108,254,681,20
79,573,1288,2705,280
86,209,437,586,594
3,0,0,0,0
81,0,0,0,0
8,0,0,0,0
32,0,0,0,0
189,1112,2832,6195,527
181,0,0,0,0
22,0,0,0,0
193,0,0,0,0
60,139,238,312,5
156,277,543,276,19
7,281,572,491,15
130,881,1990,5472,49
37,400,797,1426,286
126,0,0,0,0
172,0,0,0,0
36,154,274,852,15
90,1392,3091,2701,198
142,276,709,1971,154
45,124,223,415,2
14,97,230,190,82
128,0,0,0,0
129,0,0,0,0
25,0,0,0,0
206,0,0,0,0
18,620,1428,1727,99
112,221,386,409,5
163,0,0,0,0
91,1186,2778,6816,455
137,0,0,0,0
167,444,996,2100,58
121,0,0,0,0
111,599,1654,3180,739
