idolId,users,tweets,favs,retweets
72,54,114,225,30
144,28,58,52,9
31,42,94,102,14
164,409,1049,1080,289
143,235,512,185,6
29,32,62,29,3
52,34,61,58,2
92,475,1614,1328,61
127,536,1208,1627,292
54,438,1076,2794,92
104,111,242,275,20
76,346,847,397,74
65,48,84,162,14
51,35,93,91,50
13,408,1097,1290,547
20,253,765,793,22
99,21,64,6,0
27,1280,3917,8076,673
184,326,644,242,101
200,139,341,751,76
6,200,620,1124,54
47,23,56,40,0
150,54,138,234,5
116,43,117,97,5
113,65,167,179,10
16,16,35,9,0
155,21,54,29,1
151,49,111,126,31
153,205,596,717,99
124,128,259,696,81
21,20,34,37,0
146,478,944,429,33
53,23,38,23,0
26,105,343,152,39
24,70,170,112,20
122,109,281,334,20
12,928,3408,2745,345
9,125,390,956,307
66,440,935,1775,215
158,140,310,225,9
75,397,1376,897,84
74,1028,3137,3611,2055
73,244,562,710,92
98,592,1194,601,142
115,22,52,20,0
187,31,76,37,4
186,305,1122,2025,230
149,245,841,553,39
83,63,173,201,17
138,303,767,650,28
190,19,22,54,30
70,18,20,12,0
132,145,508,568,47
48,51,117,190,14
55,457,2092,2342,369
58,104,275,193,3
56,32,85,112,1
68,162,522,545,15
1001,364,843,998,34
102,19,35,29,11
57,51,84,192,6
50,893,2499,4211,301
154,254,617,1442,189
33,431,1174,2472,189
11,629,1788,2193,124
188,55,132,149,5
95,9,26,12,5
34,239,748,622,36
140,44,83,41,6
196,72,144,664,62
49,33,57,57,4
89,1114,3179,6147,850
59,1028,2981,3943,194
15,412,1108,934,36
80,233,689,1074,266
105,459,1594,4612,504
198,719,1495,1160,128
141,15,17,11,2
162,159,401,565,87
5,396,1440,2526,477
120,332,664,197,14
110,21,31,20,0
67,489,1611,1790,488
1,507,976,541,9
195,53,150,158,46
63,446,1213,2841,227
114,546,1078,458,39
1002,433,843,763,27
168,834,2787,23303,3248
169,196,429,398,11
185,28,54,74,0
38,39,64,99,14
205,222,418,286,46
19,346,1024,5072,648
103,19,33,11,1
170,59,170,460,138
175,27,77,12,2
97,715,1831,2601,144
71,39,74,16,0
133,342,946,948,10
96,212,676,835,233
135,824,2764,4406,174
78,621,1558,8156,1013
88,624,1736,1481,47
39,30,89,19,2
204,405,955,861,31
194,35,83,66,0
77,143,353,613,142
173,344,1046,3198,1059
41,282,928,3738,242
2,318,948,628,46
17,150,506,394,3
174,276,893,1236,41
136,116,451,897,90
118,114,313,283,12
197,255,664,529,94
191,46,98,53,5
117,19,47,51,0
160,28,49,32,1
85,524,1185,426,40
131,809,1737,986,85
61,38,73,103,46
165,26,69,78,12
82,68,150,378,96
166,11,18,2,0
192,153,461,469,116
64,288,608,715,130
123,883,2650,4230,213
62,96,281,395,49
100,40,85,40,2
1003,673,1445,1197,55
1004,582,982,573,24
171,272,641,1068,67
147,268,634,313,32
40,47,112,34,5
4,97,222,112,31
119,134,360,685,20
23,141,276,65,5
84,628,2346,1555,50
35,634,1498,2370,102
87,65,121,90,2
93,43,66,32,2
101,1760,6185,6905,418
157,740,2104,5428,1081
159,399,1060,1262,8
134,420,1689,3510,169
28,699,1686,1924,151
176,55,107,55,18
125,107,339,576,54
94,131,381,456,25
30,36,105,44,1
69,171,466,723,52
139,52,121,92,15
161,305,944,3831,396
10,24,40,2,0
145,30,98,234,5
79,121,338,471,43
86,56,136,164,167
3,450,1408,2606,53
81,409,972,546,38
8,464,1274,1665,540
32,660,1644,895,61
189,182,494,985,92
181,196,572,405,76
22,166,445,485,24
193,190,467,181,22
60,29,60,54,0
156,54,114,36,2
7,69,164,118,6
130,161,699,1517,14
37,77,222,292,66
126,669,1569,2324,415
172,504,1262,1668,34
36,40,84,195,3
90,278,815,435,30
142,64,171,407,29
45,29,39,56,0
14,36,99,75,37
128,159,438,675,166
129,229,459,119,4
25,390,1322,7950,386
206,914,1766,1819,92
18,100,251,75,8
112,41,85,68,4
163,580,1297,787,22
91,214,597,1101,55
137,342,1449,7762,1668
167,85,222,481,13
121,170,416,927,155
111,170,672,1186,291
