idolId,users,tweets,favs,retweets
72,30,50,131,19
144,17,23,44,6
31,25,37,71,7
164,283,457,694,158
143,161,232,113,4
29,20,30,19,2
52,23,30,32,1
92,357,690,652,41
127,343,530,763,108
54,311,542,2175,80
104,86,131,216,15
76,205,345,217,41
65,30,42,79,10
51,23,36,55,29
13,283,518,991,386
20,186,344,523,15
99,16,29,5,0
27,881,1629,4892,141
184,216,292,156,91
200,103,181,505,56
6,147,278,517,44
47,14,25,26,0
150,39,54,165,3
116,31,57,82,5
113,47,70,100,2
16,7,14,6,0
155,12,17,22,0
151,26,38,67,13
153,150,254,437,51
124,93,140,522,69
21,12,17,21,0
146,307,431,249,22
53,15,20,18,0
26,74,132,131,32
24,42,79,52,4
122,77,128,210,7
12,683,1437,1205,89
9,85,164,561,199
66,294,414,1626,212
158,95,137,184,8
75,274,562,630,44
74,700,1251,2016,853
73,145,234,340,36
98,392,572,440,141
115,14,18,20,0
187,23,37,31,3
186,184,386,870,97
149,165,323,250,20
83,45,73,143,5
138,199,317,448,8
190,10,12,42,25
70,9,9,3,0
132,105,235,459,34
48,38,56,144,14
55,360,911,1645,272
58,69,123,141,0
56,24,42,78,1
68,123,236,375,6
1001,247,363,602,19
102,6,6,15,5
57,26,36,127,5
50,593,1022,2252,76
154,172,294,799,43
33,244,412,741,79
11,417,721,1491,96
188,34,56,111,3
95,6,11,9,5
34,145,290,346,18
140,28,34,29,3
196,50,82,445,50
49,21,30,47,2
89,761,1363,3918,674
59,705,1304,2615,139
15,273,445,394,25
80,141,273,799,223
105,327,658,3236,485
198,458,668,740,72
141,6,7,8,2
162,124,188,435,65
5,263,561,1190,395
120,220,319,133,12
110,13,20,19,0
67,343,665,980,296
1,282,413,331,4
195,31,57,93,25
63,319,557,1869,138
114,376,544,273,21
1002,298,401,515,16
168,551,1120,15635,3003
169,121,182,204,7
185,17,24,36,0
38,16,20,11,1
205,148,207,166,34
19,241,445,3987,599
103,12,14,10,1
170,46,92,332,135
175,17,25,11,2
97,502,865,1703,130
71,29,39,11,0
133,212,363,333,2
96,148,269,362,119
135,592,1122,2785,98
78,426,710,4613,412
88,426,762,1016,30
39,16,31,11,2
204,264,428,538,13
194,25,43,54,0
77,108,183,396,66
173,213,407,1912,653
41,178,377,2237,175
2,197,363,340,31
17,113,225,182,1
174,163,347,705,13
136,86,184,440,69
118,84,140,172,9
197,170,308,310,61
191,24,37,48,5
117,14,20,41,0
160,17,22,25,0
85,366,569,318,34
131,545,803,598,37
61,20,29,78,43
165,19,33,58,10
82,43,68,278,86
166,5,8,2,0
192,111,205,335,87
64,179,285,94,2
123,606,1099,2727,159
62,57,114,280,30
100,27,43,32,2
1003,466,670,526,35
1004,365,475,437,19
171,166,264,463,29
147,188,289,226,29
40,29,45,28,1
4,61,112,94,25
119,86,154,386,7
23,92,136,51,4
84,404,890,1030,38
35,426,665,1673,60
87,36,48,74,0
93,27,34,19,1
101,1272,2629,3775,271
157,512,901,3206,628
159,266,459,976,6
134,290,660,2055,65
28,418,684,957,77
176,17,28,16,8
125,80,149,346,32
94,91,152,284,20
30,24,49,31,1
69,113,204,471,35
139,33,51,45,5
161,218,393,2454,296
10,14,20,1,0
145,14,36,122,0
79,68,141,297,36
86,38,62,136,120
3,264,542,787,9
81,267,407,207,17
8,303,504,715,267
32,442,718,610,20
189,117,219,557,59
181,124,209,170,29
22,100,182,348,9
193,122,207,95,1
60,15,22,44,0
156,39,61,19,2
7,48,79,91,5
130,105,244,875,6
37,54,94,241,57
126,471,748,1660,302
172,344,571,1127,24
36,29,47,147,2
90,187,358,321,24
142,44,77,295,23
45,17,22,43,0
14,23,47,58,31
128,88,173,420,85
129,154,229,72,2
25,253,495,5100,234
206,572,806,1233,48
18,68,109,52,4
112,30,38,65,4
163,361,577,378,14
91,148,280,782,18
137,225,512,3282,748
167,55,101,273,10
121,115,203,617,130
111,110,241,498,108
